Train_ID,Station_Code,Train_Priority,Weather_Condition,Time_of_Day,Day_of_Week,Network_Congestion,Active_Incident,Scheduled_Arrival_Mins,Actual_Arrival_Mins,Delay_Minutes
15892,AGC,SUPERFAST,MONSOON_STORM,AFTERNOON,SUNDAY,HIGH,NO,1346,1422,76
12244,BPL,SUPERFAST,FOG,AFTERNOON,THURSDAY,HIGH,NO,335,390,55
21045,GWL,FREIGHT,CLEAR,AFTERNOON,FRIDAY,MEDIUM,NO,1246,1262,16
17550,AGC,FREIGHT,FOG,NIGHT,MONDAY,HIGH,NO,490,546,56
11152,AGC,RAJDHANI,RAIN,AFTERNOON,WEDNESDAY,MEDIUM,NO,1030,1051,21
24919,MAS,SUPERFAST,FOG,MORNING,SATURDAY,MEDIUM,NO,865,902,37
18615,GWL,SUPERFAST,FOG,EVENING,WEDNESDAY,MEDIUM,NO,1096,1130,34
29385,HWH,FREIGHT,FOG,AFTERNOON,TUESDAY,HIGH,NO,686,737,51
22580,AGC,RAJDHANI,RAIN,MORNING,SUNDAY,HIGH,CATTLE_ON_TRACK,515,580,65
11655,MMCT,RAJDHANI,CLEAR,NIGHT,TUESDAY,LOW,NO,495,499,4
11351,GWL,RAJDHANI,FOG,AFTERNOON,SATURDAY,HIGH,NO,5,52,47
15060,MTJ,SUPERFAST,CLEAR,NIGHT,FRIDAY,MEDIUM,NO,187,202,15
11702,NDLS,RAJDHANI,CLEAR,NIGHT,THURSDAY,LOW,NO,910,915,5
12380,JHS,SUPERFAST,CLEAR,MORNING,WEDNESDAY,MEDIUM,NO,297,312,15
18663,NDLS,FREIGHT,MONSOON_STORM,EVENING,WEDNESDAY,CRITICAL,NO,921,1049,128
14676,AGC,RAJDHANI,RAIN,AFTERNOON,MONDAY,MEDIUM,NO,457,476,19
14215,JHS,FREIGHT,RAIN,MORNING,WEDNESDAY,MEDIUM,NO,906,943,37
28063,NDLS,SUPERFAST,RAIN,NIGHT,SATURDAY,MEDIUM,NO,391,412,21
27022,MMCT,FREIGHT,FOG,AFTERNOON,SATURDAY,HIGH,NO,1269,1322,53
14050,MTJ,FREIGHT,RAIN,MORNING,MONDAY,MEDIUM,NO,669,701,32
26139,AGC,MAIL_EXPRESS,MONSOON_STORM,NIGHT,SATURDAY,CRITICAL,NO,1237,1330,93
14644,MMCT,FREIGHT,CLEAR,EVENING,WEDNESDAY,HIGH,NO,25,71,46
11412,HWH,FREIGHT,RAIN,MORNING,SATURDAY,HIGH,NO,801,858,57
11792,MAS,RAJDHANI,FOG,MORNING,FRIDAY,MEDIUM,NO,1070,1105,35
15697,GWL,FREIGHT,MONSOON_STORM,AFTERNOON,WEDNESDAY,CRITICAL,NO,608,708,100
19796,MTJ,RAJDHANI,FOG,AFTERNOON,SATURDAY,HIGH,CATTLE_ON_TRACK,822,871,49
13238,MAS,RAJDHANI,MONSOON_STORM,AFTERNOON,SATURDAY,HIGH,NO,798,863,65
21354,HWH,RAJDHANI,RAIN,AFTERNOON,WEDNESDAY,MEDIUM,NO,1274,1294,20
24883,GWL,RAJDHANI,RAIN,AFTERNOON,FRIDAY,MEDIUM,NO,1342,1362,20
10380,MAS,SUPERFAST,FOG,AFTERNOON,MONDAY,MEDIUM,NO,534,572,38
27522,MMCT,RAJDHANI,FOG,AFTERNOON,TUESDAY,MEDIUM,NO,1303,1322,19
12171,MAS,SUPERFAST,FOG,NIGHT,THURSDAY,CRITICAL,SIGNAL_FAILURE,559,651,92
24666,MMCT,SUPERFAST,MONSOON_STORM,MORNING,THURSDAY,HIGH,NO,453,504,51
19952,BPL,RAJDHANI,CLEAR,NIGHT,TUESDAY,MEDIUM,CATTLE_ON_TRACK,129,156,27
28195,MTJ,MAIL_EXPRESS,FOG,MORNING,FRIDAY,HIGH,NO,1260,1305,45
25396,JHS,MAIL_EXPRESS,CLEAR,NIGHT,THURSDAY,HIGH,TRACK_MAINTENANCE,1123,1175,52
15002,MTJ,RAJDHANI,RAIN,EVENING,SATURDAY,MEDIUM,NO,959,986,27
26126,MAS,RAJDHANI,MONSOON_STORM,MORNING,FRIDAY,HIGH,NO,190,235,45
23488,AGC,SUPERFAST,CLEAR,EVENING,SUNDAY,HIGH,SIGNAL_FAILURE,1308,1390,82
16932,NDLS,SUPERFAST,CLEAR,EVENING,WEDNESDAY,HIGH,CATTLE_ON_TRACK,139,222,83
23715,MAS,SUPERFAST,CLEAR,EVENING,SATURDAY,MEDIUM,NO,869,906,37
28998,MMCT,MAIL_EXPRESS,MONSOON_STORM,MORNING,MONDAY,HIGH,NO,1261,1348,87
13287,JHS,FREIGHT,FOG,NIGHT,SUNDAY,HIGH,NO,352,431,79
18604,BPL,FREIGHT,CLEAR,AFTERNOON,THURSDAY,HIGH,SIGNAL_FAILURE,1142,1224,82
10185,MMCT,RAJDHANI,CLEAR,MORNING,TUESDAY,LOW,NO,494,498,4
27752,BPL,FREIGHT,MONSOON_STORM,AFTERNOON,TUESDAY,CRITICAL,NO,257,386,129
13287,MAS,MAIL_EXPRESS,FOG,NIGHT,FRIDAY,HIGH,NO,165,216,51
27077,MTJ,MAIL_EXPRESS,CLEAR,EVENING,TUESDAY,MEDIUM,NO,47,82,35
20452,JHS,RAJDHANI,MONSOON_STORM,AFTERNOON,SATURDAY,MEDIUM,NO,67,99,32
19383,MTJ,SUPERFAST,MONSOON_STORM,MORNING,SATURDAY,CRITICAL,NO,1120,1211,91
20880,MTJ,SUPERFAST,CLEAR,EVENING,TUESDAY,MEDIUM,NO,983,1010,27
25651,NDLS,FREIGHT,CLEAR,AFTERNOON,WEDNESDAY,MEDIUM,NO,851,888,37
18370,BPL,RAJDHANI,FOG,AFTERNOON,TUESDAY,MEDIUM,NO,267,309,42
20801,MMCT,MAIL_EXPRESS,RAIN,EVENING,SATURDAY,HIGH,NO,1230,1279,49
21405,MMCT,RAJDHANI,RAIN,MORNING,TUESDAY,MEDIUM,NO,1242,1265,23
23127,GWL,FREIGHT,FOG,MORNING,FRIDAY,HIGH,NO,976,1056,80
17824,MTJ,SUPERFAST,FOG,EVENING,MONDAY,HIGH,NO,1248,1328,80
11251,NDLS,RAJDHANI,CLEAR,NIGHT,FRIDAY,LOW,NO,186,186,0
17433,BPL,FREIGHT,MONSOON_STORM,MORNING,TUESDAY,HIGH,NO,222,297,75
25564,MTJ,SUPERFAST,MONSOON_STORM,AFTERNOON,SUNDAY,HIGH,NO,755,839,84
17699,MAS,FREIGHT,FOG,EVENING,SUNDAY,HIGH,NO,87,163,76
23692,GWL,RAJDHANI,MONSOON_STORM,NIGHT,SUNDAY,HIGH,NO,1197,1264,67
12882,AGC,SUPERFAST,MONSOON_STORM,MORNING,WEDNESDAY,HIGH,NO,171,230,59
16361,MMCT,RAJDHANI,RAIN,EVENING,FRIDAY,MEDIUM,NO,1327,1369,42
27795,MMCT,FREIGHT,FOG,AFTERNOON,TUESDAY,HIGH,NO,929,995,66
16862,HWH,FREIGHT,RAIN,NIGHT,WEDNESDAY,MEDIUM,NO,461,494,33
22061,NDLS,SUPERFAST,MONSOON_STORM,MORNING,WEDNESDAY,HIGH,NO,1169,1252,83
18546,AGC,SUPERFAST,CLEAR,MORNING,SUNDAY,HIGH,CATTLE_ON_TRACK,284,335,51
27045,MTJ,MAIL_EXPRESS,FOG,MORNING,SUNDAY,HIGH,NO,278,323,45
12703,NDLS,MAIL_EXPRESS,MONSOON_STORM,AFTERNOON,FRIDAY,HIGH,NO,790,860,70
25704,HWH,RAJDHANI,CLEAR,AFTERNOON,MONDAY,LOW,NO,808,808,0
26410,BPL,SUPERFAST,MONSOON_STORM,MORNING,SATURDAY,HIGH,NO,750,838,88
24892,BPL,SUPERFAST,CLEAR,AFTERNOON,SUNDAY,LOW,NO,474,480,6
12779,MTJ,FREIGHT,RAIN,NIGHT,FRIDAY,HIGH,CATTLE_ON_TRACK,483,559,76
23673,NDLS,SUPERFAST,RAIN,NIGHT,WEDNESDAY,LOW,NO,547,560,13
21620,AGC,FREIGHT,RAIN,EVENING,MONDAY,HIGH,NO,357,427,70
11123,MAS,RAJDHANI,RAIN,EVENING,THURSDAY,MEDIUM,NO,215,233,18
25486,BPL,MAIL_EXPRESS,FOG,EVENING,SUNDAY,HIGH,NO,482,552,70
28320,HWH,SUPERFAST,MONSOON_STORM,EVENING,SATURDAY,HIGH,NO,1057,1130,73
23841,AGC,SUPERFAST,CLEAR,EVENING,SATURDAY,MEDIUM,NO,798,814,16
13778,BPL,MAIL_EXPRESS,RAIN,EVENING,MONDAY,HIGH,NO,1150,1212,62
16518,MMCT,RAJDHANI,RAIN,MORNING,FRIDAY,LOW,NO,6,20,14
16345,AGC,FREIGHT,CLEAR,EVENING,THURSDAY,HIGH,CATTLE_ON_TRACK,1046,1122,76
22303,BPL,MAIL_EXPRESS,MONSOON_STORM,MORNING,SATURDAY,HIGH,NO,816,863,47
13004,GWL,SUPERFAST,RAIN,MORNING,SATURDAY,LOW,NO,1353,1366,13
22205,NDLS,MAIL_EXPRESS,MONSOON_STORM,EVENING,THURSDAY,CRITICAL,NO,1313,1415,102
16214,MTJ,RAJDHANI,CLEAR,NIGHT,TUESDAY,LOW,NO,442,443,1
12280,GWL,MAIL_EXPRESS,FOG,EVENING,WEDNESDAY,MEDIUM,NO,420,464,44
28322,GWL,MAIL_EXPRESS,RAIN,MORNING,SATURDAY,MEDIUM,NO,1261,1299,38
18519,GWL,SUPERFAST,FOG,AFTERNOON,WEDNESDAY,HIGH,NO,1334,1382,48
27074,JHS,MAIL_EXPRESS,MONSOON_STORM,EVENING,FRIDAY,HIGH,NO,953,1025,72
19393,MMCT,RAJDHANI,MONSOON_STORM,AFTERNOON,SUNDAY,HIGH,NO,678,756,78
28831,HWH,SUPERFAST,FOG,AFTERNOON,WEDNESDAY,MEDIUM,NO,1282,1316,34
27289,GWL,SUPERFAST,CLEAR,MORNING,WEDNESDAY,LOW,NO,611,620,9
16807,GWL,MAIL_EXPRESS,FOG,EVENING,SUNDAY,HIGH,NO,1190,1251,61
20189,BPL,FREIGHT,CLEAR,MORNING,THURSDAY,HIGH,TRACK_MAINTENANCE,922,991,69
11376,MAS,FREIGHT,CLEAR,AFTERNOON,SATURDAY,MEDIUM,NO,903,925,22
16860,GWL,MAIL_EXPRESS,MONSOON_STORM,NIGHT,FRIDAY,HIGH,NO,1281,1341,60
10981,AGC,FREIGHT,RAIN,NIGHT,THURSDAY,MEDIUM,NO,1262,1283,21
24192,AGC,MAIL_EXPRESS,FOG,EVENING,MONDAY,HIGH,NO,818,879,61
21646,MMCT,SUPERFAST,CLEAR,NIGHT,SATURDAY,LOW,NO,918,929,11
22946,MTJ,SUPERFAST,MONSOON_STORM,EVENING,SUNDAY,HIGH,NO,1358,1415,57
14891,NDLS,SUPERFAST,FOG,EVENING,SUNDAY,HIGH,NO,436,510,74
14303,AGC,SUPERFAST,CLEAR,AFTERNOON,MONDAY,LOW,NO,1093,1105,12
14009,MAS,SUPERFAST,CLEAR,NIGHT,SUNDAY,HIGH,SIGNAL_FAILURE,1345,1409,64
19644,HWH,FREIGHT,FOG,NIGHT,FRIDAY,MEDIUM,NO,1038,1073,35
27166,BPL,RAJDHANI,FOG,EVENING,SUNDAY,HIGH,CATTLE_ON_TRACK,1359,1447,88
19259,MMCT,RAJDHANI,CLEAR,EVENING,FRIDAY,MEDIUM,NO,1168,1183,15
25397,GWL,MAIL_EXPRESS,MONSOON_STORM,NIGHT,SUNDAY,CRITICAL,NO,1209,1321,112
28777,MTJ,SUPERFAST,MONSOON_STORM,NIGHT,THURSDAY,HIGH,NO,94,165,71
15367,NDLS,FREIGHT,FOG,EVENING,SUNDAY,CRITICAL,NO,1241,1348,107
26019,MTJ,SUPERFAST,RAIN,NIGHT,FRIDAY,MEDIUM,NO,133,153,20
26427,MAS,FREIGHT,MONSOON_STORM,EVENING,MONDAY,CRITICAL,NO,892,994,102
11878,NDLS,MAIL_EXPRESS,FOG,NIGHT,SATURDAY,MEDIUM,NO,1154,1193,39
29706,HWH,SUPERFAST,MONSOON_STORM,NIGHT,WEDNESDAY,HIGH,CATTLE_ON_TRACK,732,793,61
15001,MAS,FREIGHT,FOG,NIGHT,TUESDAY,HIGH,NO,452,516,64
12916,AGC,FREIGHT,RAIN,AFTERNOON,SUNDAY,HIGH,NO,597,666,69
26969,JHS,MAIL_EXPRESS,MONSOON_STORM,NIGHT,MONDAY,HIGH,NO,101,183,82
18029,MTJ,RAJDHANI,RAIN,EVENING,MONDAY,MEDIUM,NO,964,1000,36
17335,AGC,MAIL_EXPRESS,CLEAR,MORNING,FRIDAY,LOW,NO,1160,1166,6
20112,AGC,FREIGHT,MONSOON_STORM,NIGHT,TUESDAY,CRITICAL,CATTLE_ON_TRACK,1349,1519,170
17258,JHS,MAIL_EXPRESS,CLEAR,NIGHT,WEDNESDAY,HIGH,TRACK_MAINTENANCE,93,143,50
16371,MAS,RAJDHANI,FOG,EVENING,FRIDAY,HIGH,NO,629,690,61
19588,JHS,FREIGHT,FOG,EVENING,FRIDAY,HIGH,NO,1151,1240,89
10422,GWL,MAIL_EXPRESS,MONSOON_STORM,EVENING,WEDNESDAY,CRITICAL,NO,150,253,103
17962,BPL,FREIGHT,CLEAR,NIGHT,FRIDAY,LOW,NO,317,329,12
15796,AGC,FREIGHT,MONSOON_STORM,AFTERNOON,SUNDAY,HIGH,NO,385,458,73
28418,JHS,SUPERFAST,FOG,EVENING,FRIDAY,HIGH,NO,560,623,63
27859,NDLS,RAJDHANI,CLEAR,MORNING,THURSDAY,LOW,NO,67,72,5
16108,MTJ,MAIL_EXPRESS,RAIN,MORNING,SATURDAY,MEDIUM,NO,1293,1313,20
19446,HWH,RAJDHANI,FOG,EVENING,SUNDAY,MEDIUM,NO,1334,1368,34
14695,MMCT,RAJDHANI,RAIN,MORNING,TUESDAY,LOW,NO,968,980,12
18782,MAS,SUPERFAST,CLEAR,AFTERNOON,THURSDAY,MEDIUM,NO,213,228,15
25812,NDLS,MAIL_EXPRESS,CLEAR,NIGHT,MONDAY,MEDIUM,NO,647,670,23
18112,GWL,FREIGHT,RAIN,AFTERNOON,FRIDAY,HIGH,NO,257,326,69
16641,MMCT,MAIL_EXPRESS,MONSOON_STORM,NIGHT,SATURDAY,HIGH,NO,706,783,77
23379,NDLS,MAIL_EXPRESS,MONSOON_STORM,EVENING,MONDAY,CRITICAL,NO,1181,1297,116
12037,JHS,MAIL_EXPRESS,CLEAR,MORNING,FRIDAY,MEDIUM,NO,789,819,30
23231,MAS,SUPERFAST,FOG,NIGHT,SATURDAY,MEDIUM,NO,774,798,24
13864,GWL,MAIL_EXPRESS,FOG,MORNING,FRIDAY,MEDIUM,NO,1296,1333,37
20137,MAS,MAIL_EXPRESS,RAIN,EVENING,TUESDAY,MEDIUM,NO,1135,1177,42
26214,MTJ,RAJDHANI,CLEAR,EVENING,TUESDAY,MEDIUM,NO,1156,1179,23
27191,MMCT,SUPERFAST,FOG,AFTERNOON,MONDAY,HIGH,NO,212,260,48
16309,JHS,FREIGHT,CLEAR,MORNING,SATURDAY,MEDIUM,NO,173,211,38
26564,JHS,SUPERFAST,CLEAR,MORNING,MONDAY,LOW,NO,978,983,5
21171,BPL,SUPERFAST,CLEAR,EVENING,SUNDAY,MEDIUM,NO,1392,1413,21
20443,AGC,MAIL_EXPRESS,CLEAR,EVENING,THURSDAY,CRITICAL,SIGNAL_FAILURE,976,1071,95
15604,MAS,FREIGHT,MONSOON_STORM,NIGHT,SUNDAY,CRITICAL,NO,1176,1288,112
27706,MAS,SUPERFAST,MONSOON_STORM,MORNING,SUNDAY,HIGH,NO,635,686,51
17859,HWH,MAIL_EXPRESS,FOG,MORNING,WEDNESDAY,HIGH,NO,646,697,51
29557,NDLS,RAJDHANI,MONSOON_STORM,NIGHT,SATURDAY,HIGH,NO,80,133,53
26655,AGC,SUPERFAST,MONSOON_STORM,MORNING,MONDAY,HIGH,NO,1280,1360,80
14227,MTJ,SUPERFAST,CLEAR,AFTERNOON,SATURDAY,LOW,NO,191,194,3
23004,MTJ,SUPERFAST,RAIN,NIGHT,WEDNESDAY,MEDIUM,NO,132,167,35
15795,NDLS,RAJDHANI,CLEAR,NIGHT,TUESDAY,LOW,NO,443,447,4
12600,HWH,FREIGHT,FOG,MORNING,WEDNESDAY,HIGH,NO,1175,1250,75
20690,HWH,RAJDHANI,RAIN,NIGHT,THURSDAY,MEDIUM,NO,418,439,21
18599,JHS,MAIL_EXPRESS,MONSOON_STORM,AFTERNOON,SUNDAY,HIGH,NO,771,842,71
22071,BPL,SUPERFAST,MONSOON_STORM,MORNING,WEDNESDAY,CRITICAL,CATTLE_ON_TRACK,1160,1291,131
13044,NDLS,MAIL_EXPRESS,MONSOON_STORM,MORNING,TUESDAY,HIGH,NO,485,549,64
14795,JHS,MAIL_EXPRESS,CLEAR,AFTERNOON,SATURDAY,LOW,NO,1027,1032,5
23416,GWL,MAIL_EXPRESS,FOG,EVENING,THURSDAY,HIGH,CATTLE_ON_TRACK,178,261,83
24887,BPL,RAJDHANI,RAIN,MORNING,TUESDAY,MEDIUM,NO,326,345,19
19233,MAS,RAJDHANI,RAIN,EVENING,SUNDAY,HIGH,SIGNAL_FAILURE,170,232,62
16009,NDLS,SUPERFAST,MONSOON_STORM,NIGHT,TUESDAY,HIGH,NO,721,767,46
19139,MMCT,FREIGHT,CLEAR,MORNING,MONDAY,HIGH,SIGNAL_FAILURE,1126,1179,53
10953,BPL,RAJDHANI,RAIN,AFTERNOON,FRIDAY,MEDIUM,NO,1252,1267,15
13891,JHS,MAIL_EXPRESS,FOG,AFTERNOON,FRIDAY,HIGH,NO,419,464,45
26703,MMCT,MAIL_EXPRESS,MONSOON_STORM,MORNING,THURSDAY,HIGH,NO,1335,1396,61
16283,BPL,RAJDHANI,RAIN,NIGHT,MONDAY,MEDIUM,NO,510,530,20
18802,NDLS,SUPERFAST,RAIN,MORNING,TUESDAY,HIGH,TRACK_MAINTENANCE,969,1022,53
14094,MAS,FREIGHT,FOG,EVENING,MONDAY,CRITICAL,TRACK_MAINTENANCE,1105,1221,116
14223,AGC,RAJDHANI,RAIN,AFTERNOON,TUESDAY,MEDIUM,NO,406,429,23
15959,AGC,SUPERFAST,CLEAR,AFTERNOON,TUESDAY,HIGH,CATTLE_ON_TRACK,486,541,55
22481,MTJ,MAIL_EXPRESS,RAIN,NIGHT,FRIDAY,MEDIUM,NO,1098,1128,30
16701,BPL,RAJDHANI,MONSOON_STORM,NIGHT,SATURDAY,HIGH,NO,101,168,67
11342,MTJ,SUPERFAST,FOG,NIGHT,WEDNESDAY,CRITICAL,TRACK_MAINTENANCE,565,655,90
12430,JHS,SUPERFAST,FOG,MORNING,WEDNESDAY,MEDIUM,NO,376,409,33
25638,JHS,FREIGHT,CLEAR,NIGHT,MONDAY,LOW,NO,206,220,14
23398,HWH,FREIGHT,CLEAR,NIGHT,SATURDAY,MEDIUM,CATTLE_ON_TRACK,587,627,40
14741,MTJ,MAIL_EXPRESS,CLEAR,MORNING,THURSDAY,HIGH,TRACK_MAINTENANCE,1312,1357,45
19510,MMCT,SUPERFAST,CLEAR,AFTERNOON,MONDAY,LOW,NO,1072,1082,10
20863,BPL,RAJDHANI,CLEAR,EVENING,THURSDAY,MEDIUM,NO,817,832,15
28621,GWL,SUPERFAST,RAIN,EVENING,THURSDAY,MEDIUM,NO,301,342,41
22299,GWL,MAIL_EXPRESS,FOG,EVENING,FRIDAY,HIGH,NO,1258,1341,83
16311,MMCT,MAIL_EXPRESS,FOG,NIGHT,TUESDAY,HIGH,NO,75,127,52
10234,MTJ,SUPERFAST,MONSOON_STORM,EVENING,FRIDAY,HIGH,NO,484,543,59
19731,JHS,FREIGHT,FOG,MORNING,FRIDAY,HIGH,SIGNAL_FAILURE,939,1020,81
14011,MMCT,MAIL_EXPRESS,CLEAR,NIGHT,THURSDAY,HIGH,SIGNAL_FAILURE,651,728,77
24826,GWL,RAJDHANI,FOG,EVENING,MONDAY,MEDIUM,NO,247,284,37
21621,GWL,SUPERFAST,MONSOON_STORM,MORNING,SUNDAY,CRITICAL,NO,442,535,93
19592,AGC,SUPERFAST,RAIN,EVENING,THURSDAY,MEDIUM,NO,71,108,37
26677,GWL,FREIGHT,CLEAR,EVENING,WEDNESDAY,MEDIUM,NO,195,229,34
15177,NDLS,MAIL_EXPRESS,MONSOON_STORM,MORNING,MONDAY,CRITICAL,CATTLE_ON_TRACK,1117,1241,124
18512,MMCT,MAIL_EXPRESS,FOG,AFTERNOON,FRIDAY,HIGH,NO,1183,1233,50
10147,NDLS,SUPERFAST,RAIN,AFTERNOON,SUNDAY,MEDIUM,NO,131,161,30
10775,MMCT,FREIGHT,FOG,EVENING,SATURDAY,CRITICAL,TRACK_MAINTENANCE,1391,1547,156
17318,NDLS,FREIGHT,FOG,AFTERNOON,SUNDAY,HIGH,NO,550,605,55
29309,MTJ,MAIL_EXPRESS,FOG,NIGHT,SUNDAY,HIGH,NO,1114,1164,50
22306,BPL,RAJDHANI,CLEAR,NIGHT,WEDNESDAY,LOW,NO,411,411,0
10028,BPL,RAJDHANI,RAIN,EVENING,TUESDAY,MEDIUM,NO,909,951,42
25617,AGC,RAJDHANI,CLEAR,MORNING,WEDNESDAY,LOW,NO,35,37,2
13529,AGC,FREIGHT,CLEAR,NIGHT,SATURDAY,MEDIUM,NO,926,955,29
27885,NDLS,FREIGHT,MONSOON_STORM,NIGHT,TUESDAY,HIGH,NO,868,945,77
15769,BPL,MAIL_EXPRESS,FOG,AFTERNOON,SATURDAY,HIGH,NO,632,678,46
16315,GWL,FREIGHT,RAIN,NIGHT,FRIDAY,HIGH,NO,1209,1256,47
25230,MMCT,FREIGHT,RAIN,EVENING,WEDNESDAY,HIGH,NO,1396,1455,59
23102,AGC,SUPERFAST,MONSOON_STORM,NIGHT,SUNDAY,MEDIUM,NO,1380,1416,36
21543,JHS,RAJDHANI,RAIN,MORNING,THURSDAY,LOW,NO,1228,1234,6
